Date,IDU,IJH,IJJ,IJK,IJR,IJS,IJT,IUSG,IUSV,IVE,IVV,IVW,IWB,IWD,IWF,IWM,IWN,IWO,IWV,IYC,IYE,IYF,IYG,IYH,IYJ,IYK,IYM,IYW,IYY,IYZ
2016-10-07,46.751251220703125,26.91756248474121,56.116878509521484,39.77639389038086,54.04295349121094,53.87922286987305,62.836177825927734,38.36814498901367,37.92564392089844,78.39732360839844,186.64974975585938,27.63336181640625,104.73468780517578,87.14940643310547,95.87626647949219,110.0964584350586,87.98870086669922,138.76905822753906,111.92971801757812,34.254722595214844,28.635295867919922,38.864952087402344,25.856287002563477,26.859493255615234,50.980403900146484,31.00980567932129,66.94624328613281,28.218870162963867,47.28427505493164,25.476139068603516
2016-10-10,47.1401481628418,27.121723175048828,56.586429595947266,40.05745315551758,54.645442962646484,54.44785690307617,63.495849609375,38.55912780761719,38.107582092285156,78.7703857421875,187.59056091308594,27.768444061279297,105.2423324584961,87.6052474975586,96.25674438476562,111.41407775878906,89.0938720703125,140.38970947265625,112.5540542602539,34.343841552734375,29.105091094970703,39.07243347167969,25.986513137817383,27.003009796142578,51.04833221435547,31.051164627075195,67.2566909790039,28.422807693481445,47.534690856933594,25.750947952270508
2016-10-11,46.592529296875,26.685239791870117,55.728416442871094,39.39396667480469,53.74829864501953,53.61241149902344,62.42097473144531,38.06804656982422,37.65274429321289,77.80875396728516,185.27735900878906,27.4227352142334,103.93827819824219,86.49464416503906,95.05956268310547,109.37938690185547,87.70813751220703,137.3746337890625,111.0591812133789,33.963958740234375,28.74540138244629,38.66611862182617,25.682659149169922,26.310527801513672,50.45063400268555,30.76986312866211,66.22185516357422,28.071847915649414,46.93281936645508,25.540794372558594
2016-10-12,47.04887771606445,26.78380012512207,55.9247932434082,39.52299499511719,53.836265563964844,53.76551055908203,62.42561721801758,38.104408264160156,37.65274429321289,77.84191131591797,185.51043701171875,27.477685928344727,104.06082916259766,86.5857925415039,95.24518585205078,109.28975677490234,87.86972045898438,136.9977264404297,111.18232727050781,34.11402893066406,28.62795639038086,38.839012145996094,25.673978805541992,26.150863647460938,50.55477523803711,30.907766342163086,66.11834716796875,28.04339599609375,46.99872589111328,25.565038681030273
2016-10-13,47.62826156616211,26.674678802490234,55.66438293457031,39.403194427490234,53.304134368896484,53.14439392089844,61.84895324707031,37.967994689941406,37.53697204589844,77.568359375,184.9407958984375,27.3952693939209,103.69320678710938,86.2708511352539,94.97604370117188,108.38442993164062,87.0280532836914,135.98960876464844,110.8041763305664,34.04838562011719,28.466468811035156,38.583980560302734,25.361446380615234,26.16701316833496,50.41893768310547,30.79744529724121,65.68716430664062,27.867910385131836,46.8010368347168,25.459976196289062
2016-10-14,47.413970947265625,26.660602569580078,55.651580810546875,39.380165100097656,53.15900802612305,53.09189224243164,61.669029235839844,37.98619079589844,37.53697204589844,77.59322357177734,184.9580535888672,27.404420852661133,103.68445587158203,86.23770141601562,95.0131607055664,107.94525909423828,86.87505340576172,135.17930603027344,110.76900482177734,34.03196716308594,28.312318801879883,38.67906951904297,25.48587989807129,25.953536987304688,50.5095100402832,30.82502555847168,65.73027801513672,27.97462272644043,46.805423736572266,25.46805191040039
2016-10-17,47.64414596557617,26.646522521972656,55.63450241088867,39.334083557128906,53.07107925415039,52.99130630493164,61.51679611206055,37.80431365966797,37.37985610961914,77.35281372070312,184.34521484375,27.308265686035156,103.3956527709961,85.98905181884766,94.71621704101562,107.81976318359375,86.83253479003906,134.8966522216797,110.47884368896484,33.7411994934082,28.187530517578125,38.57966232299805,25.35276222229004,25.89971160888672,50.45063400268555,30.709197998046875,65.6957778930664,27.896366119384766,46.682403564453125,25.40339469909668
2016-10-18,48.02509689331055,26.801403045654297,55.97172164916992,39.582889556884766,53.23817825317383,53.25811004638672,61.61830139160156,38.12260818481445,37.57006072998047,77.76730346679688,185.48452758789062,27.496004104614258,104.01702880859375,86.47808074951172,95.34725952148438,108.438232421875,87.37662506103516,135.5373077392578,111.12075805664062,33.980377197265625,28.26827049255371,38.82604217529297,25.572694778442383,26.19213104248047,50.59553527832031,30.82778549194336,66.4891586303711,28.114538192749023,46.96795654296875,25.589284896850586
2016-10-19,47.92986297607422,26.926362991333008,56.28337478637695,39.70268249511719,53.45366668701172,53.59492492675781,61.76131057739258,38.186275482177734,37.751983642578125,78.0574722290039,185.94198608398438,27.53950309753418,104.32334899902344,86.80128479003906,95.53291320800781,108.8953628540039,87.98021697998047,135.81997680664062,111.48128509521484,34.10700225830078,28.716047286987305,39.13727569580078,25.87364959716797,26.086286544799805,50.74043273925781,30.767112731933594,67.02383422851562,28.09318733215332,47.09976577758789,25.726694107055664
2016-10-20,47.90207290649414,26.796119689941406,56.099796295166016,39.4723014831543,53.11944580078125,53.2756233215332,61.27690887451172,38.12260818481445,37.66929244995117,77.94140625,185.6226348876953,27.482269287109375,104.12206268310547,86.61896514892578,95.4029541015625,108.57266998291016,87.71665954589844,135.45252990722656,111.24384307861328,34.17267608642578,28.65732765197754,39.059471130371094,25.937314987182617,26.20827865600586,50.45063400268555,30.676103591918945,67.19630432128906,28.022052764892578,47.05144500732422,25.395315170288086
2016-10-21,47.624305725097656,26.803163528442383,56.06137466430664,39.47000503540039,52.96992492675781,53.15751266479492,61.17082595825195,38.23172378540039,37.5617790222168,77.7258529663086,185.70895385742188,27.57842445373535,104.13954162597656,86.37031555175781,95.6813735961914,108.51889038085938,87.55514526367188,135.5090789794922,111.27902221679688,34.30632019042969,28.459129333496094,39.0465087890625,26.00676727294922,26.01631736755371,50.477806091308594,30.79469108581543,67.04108428955078,28.176189422607422,47.01628875732422,25.314491271972656
2016-10-24,47.814781188964844,26.921079635620117,56.249210357666016,39.737247467041016,53.41847610473633,53.56866455078125,61.641361236572266,38.46818923950195,37.64447021484375,77.8667984008789,186.52891540527344,27.759288787841797,104.58589172363281,86.46977996826172,96.28459167480469,109.20906066894531,88.18424987792969,136.41358947753906,111.77145385742188,34.56192398071289,28.37104034423828,39.18914794921875,26.154348373413086,25.97146987915039,50.6634521484375,30.9987850189209,67.17906188964844,28.531885147094727,47.24912643432617,25.653953552246094
2016-10-25,48.06874465942383,26.72748374938965,55.88637924194336,39.387062072753906,52.92155075073242,53.15751266479492,61.00473403930664,38.24992752075195,37.57831573486328,77.78388214111328,185.9333953857422,27.610471725463867,104.20957946777344,86.37860107421875,95.77417755126953,108.3934326171875,87.61466217041016,135.00025939941406,111.27902221679688,34.259422302246094,28.187530517578125,39.098365783691406,26.047286987304688,25.888944625854492,50.40535354614258,30.87466812133789,66.79962921142578,28.44414520263672,47.020687103271484,25.459976196289062
2016-10-26,48.1679573059082,26.576120376586914,55.758296966552734,39.06684494018555,52.5301513671875,52.881961822509766,60.400421142578125,38.05894470214844,37.57006072998047,77.87506103515625,185.5449981689453,27.47997283935547,103.92948913574219,86.41175842285156,95.24518585205078,107.31782531738281,87.06205749511719,133.40794372558594,110.97126007080078,34.06948471069336,28.24625015258789,39.11566925048828,26.157241821289062,25.686222076416016,50.6136474609375,30.888469696044922,66.67888641357422,28.278152465820312,46.950401306152344,25.290241241455078
